실험명,물체종류,측정조건,실제총무게_g,반복번호,표본번호,X축힘_N,Y축힘_N,Z축힘_N,X축모멘트_Nm,Y축모멘트_Nm,Z축모멘트_Nm
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,10,1,-0.660890162,1.862071157,1.046277642,2.902346611,-3.537183523,0.1485843509
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,10,2,-0.6264619231,1.986361623,1.073066235,2.902350664,-3.537185431,0.1513962746
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,10,3,-0.6264619231,1.986361623,1.073066235,2.902350664,-3.537185431,0.1513962746
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,10,4,-0.6236771345,2.082071781,1.163733125,2.902352095,-3.537186146,0.1523362994
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,10,5,-0.6236771345,2.082071781,1.163733125,2.902352095,-3.537186146,0.1523362994
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,10,6,-0.6348741651,2.00973177,1.220139861,2.902350903,-3.537185669,0.1516281813
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,10,7,-0.6348741651,2.00973177,1.220139861,2.902350903,-3.537185669,0.1516281813
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,10,8,-0.6877883077,1.930481911,1.25599122,2.902346134,-3.537183046,0.1482185125
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,10,9,-0.6877883077,1.930481911,1.25599122,2.902346134,-3.537183046,0.1482185125
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,10,10,-0.6853559017,1.895523429,1.249245167,2.902346373,-3.537183285,0.1483866721
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,11,1,-0.5165563822,1.919414163,1.136698365,2.902349234,-3.537184715,0.1504697353
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,11,2,-0.4952776134,1.951630354,1.129819155,2.902350426,-3.537185192,0.1512209475
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,11,3,-0.4952776134,1.951630354,1.129819155,2.902350426,-3.537185192,0.1512209475
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,11,4,-0.5425639749,1.862612963,1.128185511,2.90234971,-3.537184954,0.1507665813
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,11,5,-0.5425639749,1.862612963,1.128185511,2.90234971,-3.537184954,0.1507665813
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,11,6,-0.5796601772,1.791674852,1.156216264,2.902349472,-3.537184954,0.1505992115
