실험명,물체종류,측정조건,실제총무게_g,반복번호,표본번호,시각_s,X축힘_N,Y축힘_N,Z축힘_N,X축모멘트_Nm,Y축모멘트_Nm,Z축모멘트_Nm,작업물무게_kgf
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,3,2,124.762,-1.034444808959961,1.3169535398483276,0.5957379341125488,-1.1971370383889735e-07,1.426049891506409e-07,0.1728954166173935,0.28489768505096436
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,3,3,125.579,-1.152063012123108,1.380440592765808,0.6412485241889954,-1.171358050555682e-07,1.395341513443782e-07,0.16917231678962708,0.3088708221912384
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,3,4,126.399,-1.1593974828720093,1.3566838502883911,0.7408870458602905,-1.1804389998815168e-07,1.4061588160529936e-07,0.1704838126897812,0.3007373809814453
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,3,5,127.219,-1.1086232662200928,1.3533812761306763,0.6378342509269714,-1.1588006998408673e-07,1.380383025662013e-07,0.16735872626304626,0.2674209773540497
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,3,6,128.039,-1.126234769821167,1.3522932529449463,0.6200610399246216,-1.1760403140215203e-07,1.4009191318109515e-07,0.16984854638576508,0.2909979820251465
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,3,7,128.859,-1.1129652261734009,1.355745553970337,0.6398458480834961,-1.187550751069466e-07,1.4146306170914613e-07,0.17151091992855072,0.29833146929740906
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,3,8,129.682,-1.1013494729995728,1.37599515914917,0.6875268220901489,-1.1923377485345554e-07,1.4203328646544833e-07,0.17220228910446167,0.27968642115592957
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,3,9,130.502,-1.109427809715271,1.3818631172180176,0.5490659475326538,-1.1865338933603198e-07,1.4134192838355375e-07,0.17136406898498535,0.28460001945495605
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,3,10,131.320,-1.1600511074066162,1.4237375259399414,0.6599602699279785,-1.1899737728526816e-07,1.4175168416841188e-07,0.17186087369918823,0.30709031224250793
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,4,1,133.140,-1.2769888639450073,1.4879788160324097,0.6729616522789001,-1.1734942972907447e-07,1.397886251197633e-07,0.1694808304309845,0.3077429234981537
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,4,2,133.959,-1.252079963684082,1.487581729888916,0.5686550140380859,-1.1820926459904513e-07,1.408128724733615e-07,0.17072264850139618,0.28045952320098877
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,4,3,134.779,-1.2833665609359741,1.4927818775177002,0.5943100452423096,-1.194737961895953e-07,1.423192088623182e-07,0.17254893481731415,0.27538061141967773
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,4,4,135.602,-1.2166600227355957,1.4601466655731201,0.4878710210323334,-1.211135298717636e-07,1.442724908429227e-07,0.1749171018600464,0.2827267646789551
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,4,5,136.420,-1.239891529083252,1.459681510925293,0.5055914521217346,-1.1628660701035187e-07,1.3852258007318596e-07,0.16794586181640625,0.29040759801864624
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,4,6,137.239,-1.2428282499313354,1.4667383432388306,0.5285481810569763,-1.1877336447696507e-07,1.4148484694942454e-07,0.1715373396873474,0.2585909068584442
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,4,7,138.059,-1.2553725242614746,1.4481337070465088,0.5583953261375427,-1.1853819614771055e-07,1.4120470837042376e-07,0.17119769752025604,0.2906232476234436
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,4,8,138.880,-1.2428479194641113,1.4188393354415894,0.5367979407310486,-1.1823418333278823e-07,1.4084254473800684e-07,0.17075861990451813,0.25605279207229614
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,4,9,139.700,-1.2007367610931396,1.455945372581482,0.5326330065727234,-1.2212726119287254e-07,1.45480058222347e-07,0.1763811707496643,0.2761940360069275
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,4,10,140.520,-1.1934483051300049,1.4266172647476196,0.6511462926864624,-1.1690575973943851e-07,1.3926010922205023e-07,0.16884006559848785,0.2896153926849365
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,5,1,142.340,-1.1205005645751953,1.3891047239303589,0.6878670454025269,-1.1808324984485807e-07,1.4066276321500482e-07,0.17054064571857452,0.2983381152153015
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,5,2,143.160,-1.0897557735443115,1.3665796518325806,0.6323839426040649,-1.180006421463986e-07,1.4056435304610204e-07,0.17042133212089539,0.2942046523094177
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,5,3,143.980,-1.0660382509231567,1.3321274518966675,0.5798836946487427,-1.1862597659728635e-07,1.4130927183941822e-07,0.1713244765996933,0.2628517746925354
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,5,4,144.800,-1.0665432214736938,1.3439741134643555,0.5610660910606384,-1.1839560443149821e-07,1.4103484602401295e-07,0.17099176347255707,0.2993321418762207
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,5,5,145.620,-1.1311861276626587,1.4066243171691895,0.7572799921035767,-1.224761945195496e-07,1.4589572572276666e-07,0.17688512802124023,0.29134601354599
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,5,6,146.443,-1.0949344635009766,1.35935378074646,0.6049626469612122,-1.1726905313480529e-07,1.3969287238069228e-07,0.16936475038528442,0.28200674057006836
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,5,7,147.260,-1.0774431228637695,1.3687535524368286,0.5601961016654968,-1.1979342673384963e-07,1.426999602927026e-07,0.17301055788993835,0.28555580973625183
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,5,8,148.082,-1.1365368366241455,1.3863903284072876,0.6314915418624878,-1.1859455639751104e-07,1.4127184044809837e-07,0.17127910256385803,0.28408071398735046
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,5,9,148.899,-1.1484309434890747,1.3996734619140625,0.6271823644638062,-1.2085939715689165e-07,1.4396975700492476e-07,0.17455007135868073,0.29134097695350647
