실험명,물체종류,측정조건,실제총무게_g,반복번호,표본번호,시각_s,X축힘_N,Y축힘_N,Z축힘_N,X축모멘트_Nm,Y축모멘트_Nm,Z축모멘트_Nm,작업물무게_kgf
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,2,2,361.572,-0.6735289692878723,1.925201416015625,2.3870232105255127,-4.88868317916058e-05,2.54939168371493e-05,0.15598484873771667,1.0025546550750732
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,2,3,362.394,-0.683769702911377,1.9550503492355347,2.39526629447937,-4.982869722880423e-05,2.598508945084177e-05,0.15899008512496948,0.9914854168891907
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,2,4,363.211,-0.6476699113845825,1.929269552230835,2.3523316383361816,-4.987126885680482e-05,2.6007288397522643e-05,0.1591259092092514,0.9893423318862915
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,2,5,364.034,-0.611047089099884,1.937971591949463,2.337739944458008,-4.866024755756371e-05,2.537575528549496e-05,0.15526185929775238,1.008779764175415
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,2,6,364.854,-0.6195656061172485,1.904128074645996,2.3704214096069336,-4.8979916755342856e-05,2.5542458388372324e-05,0.15628184378147125,1.0013232231140137
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,2,7,365.672,-0.613098680973053,1.876847267150879,2.4742887020111084,-4.809442543773912e-05,2.5080686100409366e-05,0.15345647931098938,1.006277084350586
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,2,8,366.491,-0.5178616642951965,1.8416098356246948,2.4135079383850098,-4.838783570448868e-05,2.5233695851056837e-05,0.15439267456531525,1.0002050399780273
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,2,9,367.312,-0.4470067322254181,1.791152000427246,2.391538143157959,-4.7981498937588185e-05,2.502179631846957e-05,0.15309615433216095,1.0019543170928955
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,2,10,368.132,-0.45059847831726074,1.7978307008743286,2.440457820892334,-4.83130534121301e-05,2.5194698537234217e-05,0.15415406227111816,1.0156211853027344
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,3,1,369.951,-0.41020113229751587,1.8091328144073486,2.492946147918701,-4.86131502839271e-05,2.5351195290568285e-05,0.15511159598827362,1.0085457563400269
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,3,2,370.772,-0.38268792629241943,1.7821310758590698,2.3694238662719727,-4.809808888239786e-05,2.508259603928309e-05,0.15346817672252655,0.9977888464927673
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,3,3,371.591,-0.45553767681121826,1.7723244428634644,2.386214256286621,-4.7879500925773755e-05,2.496860543033108e-05,0.15277071297168732,1.004701018333435
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,3,4,372.411,-0.508318305015564,1.8243063688278198,2.456083297729492,-4.926689507556148e-05,2.5692113922559656e-05,0.1571975201368332,1.0034044981002808
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,3,5,373.231,-0.530011773109436,1.8457915782928467,2.382664442062378,-5.012768815504387e-05,2.6141009584534913e-05,0.1599440723657608,0.9921958446502686
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,3,6,374.052,-0.5131551027297974,1.8579972982406616,2.316284656524658,-4.900385465589352e-05,2.555494211264886e-05,0.15635822713375092,0.9945266246795654
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,3,7,374.872,-0.5455953478813171,1.8803945779800415,2.321165084838867,-4.9223592213820666e-05,2.5669532988104038e-05,0.15705935657024384,0.996878445148468
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,3,8,375.691,-0.6017484664916992,1.9170210361480713,2.3681349754333496,-4.966150299878791e-05,2.5897899831761606e-05,0.15845660865306854,0.9995792508125305
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,3,9,376.511,-0.6486733555793762,1.9157236814498901,2.3967249393463135,-4.924603854306042e-05,2.5681238184915856e-05,0.15713097155094147,0.9961463212966919
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,3,10,377.332,-0.5799728631973267,1.9120800495147705,2.339372158050537,-4.942556188325398e-05,2.5774857931537554e-05,0.15770377218723297,0.9955617189407349
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,4,1,379.152,-0.5855382084846497,1.8948166370391846,2.3881824016571045,-4.973210525349714e-05,2.5934701625374146e-05,0.15868185460567474,0.9971025586128235
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,4,2,379.972,-0.5412457585334778,1.8561811447143555,2.430738687515259,-4.872564022662118e-05,2.540985769883264e-05,0.15547052025794983,1.0149695873260498
